source_file,company_profile_cnae,company_postcode,number_of_employees,average_employee_age,number_of_clients,number_of_suppliers,annual_revenue,it_outsourcing_level,remote_work_acceptable_use_policy,secure_remote_access,two_factor_authentication,it_infrastructure_type,key_processes_digitized_pct,erp_in_use,crm_in_use,ai_for_automation_usage,database_type,powerbi_usage,advanced_digital_skills_pct,microsoft_365_usage,collaboration_tools_usage,continuous_digital_training,cybersecurity_training,ftfe_training,phishing_simulations,active_internet_presence,active_social_media_management,digital_marketing_use,visitor_follower_analysis,accessible_digital_sales_channels,digital_revenue,usual_customer_communication_channel,preferred_customer_communication_channel,antivirus_used,employees_using_antivirus_pct,regular_patching_and_updates,network_controls_implemented,documented_account_lifecycle_process,clear_roles_and_privileges,incident_response_plan,continuity_and_recovery_plans,data_protection_compliance,legal_and_compliance_training,priority_assessment_area,KPI_OPERATIONS,KPI_BUSINESS,KPI_SECURITY,KPI_CULTURE,GLOBAL_SCORE,MATURITY_LABEL,company_size
answer.csv,Tecnología,28023,50,30-40,20,28,>20M,Alto,Sí,Sí,Sí,Híbrida,51-75%,A3 / Wolters Kluwer,A3 / Wolters Kluwer,En producción,OnPremise,Power BI,76-100%,Sí,Sí,Sí,<1 vez al año,Sí,Sí,Sí,Sí,Sí,Sí,En Desarrollo,30-60%,Teléfono,Email,Avast,99,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Gestión de incidencias y continuidad de negocio,81.0,90.0,100.0,50.0,82.3,Líder Digital,Small
form_data_69666a746084f_cealvet.csv,Comercio,43500,7,30-40,51,16,1-5M,Bajo,Sí,Sí,Parcial,On-premise,76-100%,Facturascript,Facturascript,En piloto,OnPremise,Power BI,76-100%,Sí,Sí,Sí,<1 vez al año,Sí,No,Sí,Sí,No,Sí,No,<10%,Teléfono,Teléfono,Panda Security,100,Sí,Sí,No,Sí,No,Sí,Sí,No,Procesos y automatización,79.0,62.5,62.5,50.0,65.0,Avanzado,Micro
form_data_693941bba67fc_siesystems.csv,Industrial,26006,12,30-40,25,5,<1M,Bajo,No,Sí,Sí,Híbrida,26-50%,A3 / Wolters Kluwer,Wolfcrm,Explorando,Cloud,Power BI,51-75%,Sí,Sí,Ocasional,<1 vez al año,Sí,Puntual,Sí,Sí,Sí,Sí,No,10-30%,WhatsApp,Email,Eset Nod32,100,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Infraestructuras y conectividad,71.0,62.0,75.0,37.5,63.7,Avanzado,Small
form_data_6957ae9fd6241_sorolla.csv,Comercio,43500,19,41-50,1000,200,1-5M,Bajo,No,No,No,Híbrida,0-25%,Ninguno,Ninguno,No,Cloud,Ninguno,0-25%,Sí,Sí,No,No,No,No,Sí,No,No,No,Sí,<10%,Email,Email,Microsoft Defender,0,No,No,No,No,No,No,No,No,Ciberseguridad,61.0,40.0,0.0,12.5,28.8,Principiante Digital,Small
answer2.csv,Servicios,08021,6,41-50,181,99,<1M,Alto,En desarrollo,Sí,Sí,Híbrida,0-25%,A3 / Wolters Kluwer,A3 / Wolters Kluwer,Explorando,OnPremise,Microsoft Excel,51-75%,Sí,Sí,Ocasional,No,No,No,Sí,No,Sí,Sí,No,<10%,Email,Email,Eset Nod32,100,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Procesos y automatización,61.0,52.0,75.0,37.5,58.7,En Desarrollo,Micro
answer3.csv,Servicios,43500,25,41-50,1100,10,1-5M,Medio,Sí,Sí,Sí,Cloud,51-75%,A3 / Wolters Kluwer,Ninguno,En producción,Cloud,Ninguno,51-75%,Sí,Sí,Ocasional,<1 vez al año,Sí,No,Parcial,Ocasional,En evaluación,Parcial,No,<10%,Email,Email,Kaspersky,100,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Parcial,Procesos y automatización,90.0,55.0,75.0,37.5,68.0,Avanzado,Small
form_data_6932c40287dd4.csv,Industrial,08292,30,30-40,1000,20,5-20M,Bajo,En desarrollo,Sí,Sí,Híbrida,26-50%,A3 / Wolters Kluwer,Wolfcrm,Explorando,Cloud,Power BI,26-50%,Sí,Sí,Ocasional,<1 vez al año,Sí,No,Sí,Sí,Sí,Sí,No,<10%,WhatsApp,Email,Eset Nod32,100,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Datos y analítica,71.0,52.0,75.0,25.0,59.2,En Desarrollo,Small
form_data_693947c4ac3ea_puntdoc.csv,Servicios,08960,5,41-50,200,50,1-5M,Medio,En desarrollo,Sí,Parcial,Híbrida,26-50%,A3 / Wolters Kluwer,Odoo,Explorando,OnPremise,A3 / Wolters Kluwer,76-100%,Sí,Sí,Ocasional,No,Sí,No,Sí,No,No,No,No,<10%,Email,Email,Eset Nod32,100,Sí,Sí,No,No,No,Sí,Sí,Sí,Procesos y automatización,71.0,52.0,62.5,50.0,60.4,Avanzado,Micro
form_data_695be175db209_1919iberica.csv,Comercio,08021,2,>50,70,25,<1M,Bajo,Sí,Sí,No,Cloud,76-100%,A3 / Wolters Kluwer,Ninguno,No,Cloud,Ninguno,76-100%,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,10-30%,WhatsApp,Email,Norton/Symantec,100,Sí,Sí,Parcial,No,No,No,Sí,Sí,Canales de venta online y experiencia del usuario,100.0,50.0,25.0,100.0,67.5,Avanzado,Micro
form_data_693176ba5b309.csv,Servicios,43500,0,<30,65,126,<1M,Medio,Sí,Sí,Sí,Híbrida,26-50%,A3 / Wolters Kluwer,Digiforma,Explorando,Cloud,Excel,0-25%,Sí,Sí,Sí,Sí,Sí,No,No,No,No,No,No,<10%,Email,Email,Eset Nod32,100,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Procesos y automatización,71.0,22.0,75.0,62.5,60.7,Avanzado,Micro
form_data_693aa7e064f32_Lau71.csv,Servicios,08960,1,>50,5,3,<1M,Alto,Sí,No,No,Cloud,26-50%,A3 / Wolters Kluwer,A3 / Wolters Kluwer,Explorando,OnPremise,Ninguno,76-100%,Sí,Sí,Sí,<1 vez al año,No,No,Parcial,No,No,No,No,<10%,Email,Email,Eset Nod32,100,Sí,No,No,No,No,No,Sí,Parcial,Datos y analítica,80.0,37.0,25.0,50.0,48.9,En Desarrollo,Micro
form_data_6965443e6cfd3_aillamentsbertomeu.csv,Industrial,43580,7,30-40,120,35,<1M,Bajo,No,No,No,On-premise,0-25%,A3 / Wolters Kluwer,Ninguno,Explorando,OnPremise,Ninguno,0-25%,Sí,Sí,Ocasional,No,No,No,No,No,No,No,No,<10%,WhatsApp,Teléfono,Microsoft Defender,0,No,No,No,No,No,No,Sí,Parcial,Procesos y automatización,49.0,22.0,25.0,12.5,29.1,Principiante Digital,Micro
form_data_695bdf7b24301_baugrup.csv,Comercio,08021,2,41-50,50,20,<1M,Alto,Sí,Sí,No,Cloud,76-100%,A3 / Wolters Kluwer,Ninguno,No,Cloud,Ninguno,76-100%,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Parcial,No,10-30%,WhatsApp,Email,Norton/Symantec,100,Sí,Sí,Parcial,Parcial,No,No,Sí,Sí,Presencia en Internet y redes sociales,100.0,50.0,25.0,100.0,67.5,Avanzado,Micro
form_data_69302d980daa0.csv,Comercio,43500,3,30-40,2000,28,<1M,Medio,Sí,Sí,Sí,Híbrida,26-50%,Odoo,Ninguno,Explorando,Cloud,Power BI,51-75%,Sí,Sí,Sí,Sí,Sí,Puntual,Sí,Sí,Sí,Parcial,Sí,<10%,WhatsApp,WhatsApp,Kaspersky,3,Sí,No,No,No,En elaboración,En desarrollo,Sí,Sí,Canales de venta online y experiencia del usuario,71.0,52.0,62.5,87.5,67.9,Avanzado,Micro
form_data_692db8ea55f35.csv,Servicios,43870,2,30-40,18,13,<1M,Medio,Sí,Parcial,Parcial,Híbrida,0-25%,Holded,Ninguno,Explorando,Cloud,Ninguno,76-100%,Sí,Sí,Sí,No,No,No,Sí,No,En evaluación,Parcial,No,<10%,WhatsApp,Email,Microsoft Defender,0,Sí,No,Parcial,Parcial,No,No,Sí,Sí,Canales de venta online y experiencia del usuario,61.0,52.0,37.5,50.0,50.0,En Desarrollo,Micro
form_data_693ab323be108_filaman.csv,Industrial,43520,13,30-40,6800,60,1-5M,Bajo,En desarrollo,Sí,Sí,On-premise,76-100%,A3 / Wolters Kluwer,Ninguno,Explorando,OnPremise,Excel,76-100%,Sí,Sí,Sí,<1 vez al año,Sí,Sí,Sí,Sí,Sí,No,Sí,<10%,WhatsApp,WhatsApp,Panda Security,100,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Datos y analítica,79.0,52.0,100.0,50.0,74.1,Avanzado,Small
form_data_6937ec2246af1_Pauonaada.csv,Servicios,43500,1,41-50,6,5,<1M,Alto,No,Sí,Sí,Cloud,0-25%,A3 / Wolters Kluwer,Tareando,No,OnPremise,Sí,76-100%,Sí,No,Sí,Sí,Sí,Sí,No,No,No,No,No,<10%,WhatsApp,Videollamada,Sentinelone,100,Sí,Sí,No,Sí,No,Sí,Parcial,Sí,Datos y analítica,40.0,10.0,87.5,100.0,60.2,Avanzado,Micro
form_data_6968ac6e3a8c0_jjp.csv,Industrial,43550,80,41-50,200,100,5-20M,Medio,Sí,Sí,Sí,On-premise,26-50%,Gdpa,Propio,Explorando,OnPremise,Power BI,0-25%,No,Parcial,Ocasional,<1 vez al año,Sí,Puntual,Sí,Sí,Sí,Sí,No,<10%,Email,Email,Forticlient,0,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Datos y analítica,44.0,52.0,75.0,12.5,48.6,En Desarrollo,Medium
form_data_693175cccb2ad.csv,Servicios,43500,5,41-50,292,231,<1M,Medio,Sí,Sí,Sí,Cloud,26-50%,A3 / Wolters Kluwer,Digiforma,Explorando,Cloud,Excel,51-75%,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,<10%,Email,Email,Eset Nod32,100,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Procesos y automatización,80.0,52.0,75.0,87.5,74.4,Avanzado,Micro
